-----------------------------generation: 0---------------------------------
the number of towers: 66
------------------------------------------------------------------------------
x of tower		y of tower		BW of tower
7.757104343124996	14.29982906815019	8840
16.08149100528993	11.479747475239982	465
4.618080378526468	12.134527307552089	9461
9.359157597356242	18.60963884630576	7851
9.024626470104709	3.4018831190750327	5488
12.855198991252607	11.631341233095215	7723
7.453469289381104	12.469630067273386	1571
13.58210619055827	4.653992171867257	1176
4.777032476067325	12.911279816425644	3030
9.148763748681855	1.549509960830897	8453
18.303999873214114	10.359654575921411	3391
5.781188741876399	10.662886317416458	5571
10.959655627005828	15.316212152286997	2666
4.634900049496727	12.822610966645707	2829
13.404041092028846	0.7797673599826696	7235
17.56376926122144	9.50186096632656	2859
12.194144945012555	4.851636091437453	8837
10.839493110762977	10.984608669473518	6044
3.9910358838291637	10.32658562240259	8880
10.155609885865323	16.001872707485877	2423
14.731454901874832	8.574385314432247	8747
9.902425764988392	1.8459983502384194	784
15.180879047039893	5.740431541622067	8117
1.4770474093476382	15.055293579269675	7368
14.564818358594351	5.657784823890257	3796
7.552655598318926	4.3741602194197275	5550
14.943525734987299	13.642007654893748	8401
15.986494697489194	13.061296851599199	6300
6.940318249884153	13.085224957770507	6963
0.448073630285882	7.293643455879665	3610
4.795647841929643	16.86367948636996	4900
4.317636320699114	12.777620432405012	8552
2.336756155443857	10.42893748249542	5026
11.941094485842138	14.127859225530885	7038
14.453292035053378	6.0189627326013255	2704
17.743993079814295	5.604321320122449	1892
16.721069730305814	9.14062941163052	8799
10.773582657262738	11.003827571370142	5592
11.090397984351219	8.091093903762927	409
10.663820709775589	18.139624968555534	3723
16.59846134932154	14.062321557701466	3971
7.878850094800164	15.896690482400842	3417
9.228615204188952	3.949967437591244	3010
8.768709865004416	4.309248361027254	5549
5.473708645150852	5.953381840689349	4265
9.78900328523477	10.879855896574607	5928
18.39977174150512	9.411886258970661	1371
6.001966337170428	18.22506547101074	9216
17.472369448346143	17.015408432965014	1660
16.623395992501578	17.157773345603985	127
6.704196818509137	1.7950775526609761	3472
8.336180784819085	0.7321099058534328	535
8.113286948716883	1.9788375208636015	2931
8.75697023574388	13.103657089468388	9083
1.1122504935340567	0.8234382381124258	3622
8.167145068294726	7.9772558347184805	5360
15.889144563815503	12.732346285174097	9684
5.357745280973048	13.335123154508254	6929
17.333142447676845	2.373090596939985	7285
8.182743508738298	8.632521694548354	7523
9.829919473367205	16.323436198855404	3258
11.029713166652884	3.8314640055393667	9801
2.0350425846735942	11.326799044291329	4405
6.466500122899065	10.913939062011462	6877
15.189105911468141	16.020601429722475	8493
10.614430575983873	14.187184741469206	9806
------------------------------------------------------------------------------
x of block	y of block	x of assigned tower		y of assigned tower
0		0		6.466500122899065	10.913939062011462
0		1		10.773582657262738	11.003827571370142
0		2		12.855198991252607	11.631341233095215
0		3		13.58210619055827	4.653992171867257
0		4		7.878850094800164	15.896690482400842
0		5		1.4770474093476382	15.055293579269675
0		6		10.155609885865323	16.001872707485877
0		7		10.773582657262738	11.003827571370142
0		8		4.618080378526468	12.134527307552089
0		9		13.404041092028846	0.7797673599826696
0		10		9.359157597356242	18.60963884630576
0		11		0.448073630285882	7.293643455879665
0		12		5.473708645150852	5.953381840689349
0		13		4.317636320699114	12.777620432405012
0		14		13.58210619055827	4.653992171867257
0		15		17.472369448346143	17.015408432965014
0		16		4.634900049496727	12.822610966645707
0		17		15.189105911468141	16.020601429722475
0		18		9.024626470104709	3.4018831190750327
0		19		18.39977174150512	9.411886258970661
1		0		5.781188741876399	10.662886317416458
1		1		5.781188741876399	10.662886317416458
1		2		10.959655627005828	15.316212152286997
1		3		14.564818358594351	5.657784823890257
1		4		15.986494697489194	13.061296851599199
1		5		13.58210619055827	4.653992171867257
1		6		17.56376926122144	9.50186096632656
1		7		16.623395992501578	17.157773345603985
1		8		9.359157597356242	18.60963884630576
1		9		6.704196818509137	1.7950775526609761
1		10		14.943525734987299	13.642007654893748
1		11		6.704196818509137	1.7950775526609761
1		12		6.466500122899065	10.913939062011462
1		13		2.336756155443857	10.42893748249542
1		14		17.333142447676845	2.373090596939985
1		15		4.634900049496727	12.822610966645707
1		16		10.773582657262738	11.003827571370142
1		17		1.4770474093476382	15.055293579269675
1		18		7.453469289381104	12.469630067273386
1		19		14.731454901874832	8.574385314432247
2		0		6.001966337170428	18.22506547101074
2		1		8.768709865004416	4.309248361027254
2		2		0.448073630285882	7.293643455879665
2		3		7.757104343124996	14.29982906815019
2		4		6.001966337170428	18.22506547101074
2		5		9.829919473367205	16.323436198855404
2		6		14.731454901874832	8.574385314432247
2		7		8.167145068294726	7.9772558347184805
2		8		6.001966337170428	18.22506547101074
2		9		10.773582657262738	11.003827571370142
2		10		9.148763748681855	1.549509960830897
2		11		13.404041092028846	0.7797673599826696
2		12		3.9910358838291637	10.32658562240259
2		13		2.0350425846735942	11.326799044291329
2		14		10.614430575983873	14.187184741469206
2		15		16.721069730305814	9.14062941163052
2		16		9.228615204188952	3.949967437591244
2		17		4.618080378526468	12.134527307552089
2		18		9.024626470104709	3.4018831190750327
2		19		10.614430575983873	14.187184741469206
3		0		8.167145068294726	7.9772558347184805
3		1		9.902425764988392	1.8459983502384194
3		2		7.453469289381104	12.469630067273386
3		3		10.959655627005828	15.316212152286997
3		4		10.614430575983873	14.187184741469206
3		5		9.228615204188952	3.949967437591244
3		6		17.56376926122144	9.50186096632656
