-----------------------------generation: 0---------------------------------
the number of towers: 65
------------------------------------------------------------------------------
x of tower		y of tower		BW of tower
18.45363213533251	12.53246855452852	5012
4.304706674356323	5.7070854183710304	7976
3.4378368043384606	9.854040121114158	7585
1.2932807598985643	14.589833585223655	8709
12.87831464821276	15.278840172297938	8948
11.50202707309228	6.631673801463334	6660
17.810309984293127	2.8941100109189826	1478
3.4322435210554625	2.320859110097193	4927
4.154365593349457	14.32386766446483	1841
7.5389719072386905	0.0497260629086268	6467
17.921662085305414	10.710573361087576	4093
9.794360769388245	10.793320770060232	4570
12.387137067887227	12.825155206604755	5979
6.5630627496945335	7.577438390031782	9315
9.469345617234818	6.649444269625117	7172
0.930716073964258	11.48270704016111	2996
8.176021027356837	6.590009692984315	5466
1.4196811084748726	12.690503372388976	655
6.054423594344647	15.271119940221904	6072
12.981634049618378	17.249965361714786	3605
11.554071363741597	13.25971868586458	8450
11.591458198504917	18.457823411845197	8431
14.53178026075292	9.321006062658403	5565
11.005613873346645	5.7351290231653955	7979
1.281633426448016	9.601608948175212	1749
11.309657551982486	13.70158774838653	1469
15.087750121120486	12.693160623745197	2641
12.989538953893852	13.31353880973822	7554
15.688120980166412	12.170018373893257	6963
14.436931213876763	7.650460090003538	768
0.12515507211333765	10.514091288908512	1253
11.598151799894403	18.00237869837511	7909
14.761101079362755	5.385651346460002	5849
14.761101079362755	5.385651346460002	5849
5.455126092472943	17.189164735519785	2758
0.12515507211333765	10.514091288908512	1253
11.598151799894403	18.00237869837511	7909
14.761101079362755	5.385651346460002	5849
5.455126092472943	17.189164735519785	2758
3.5968129919553844	0.6171605265974127	3031
6.003571964441764	6.638724068533508	67
14.045334302983074	17.78060230598912	9176
16.263714857505413	10.18283749105889	7291
10.087370191112797	2.4889873526902058	1298
7.302560825725174	10.897981806330131	710
4.330914411253606	8.958785334490846	4026
12.90750546200606	3.1815414317093227	858
5.6212178832475725	12.68416663939265	5982
17.20571148077784	14.836919715887584	6716
9.765443903891745	9.81964066807633	4337
10.039383867730184	12.02121274676447	9908
12.62504144498933	13.893945875845917	7727
3.9264003209098335	12.166892807877897	9290
11.700757097837505	2.750203071039827	3781
9.622964360690979	15.60257870597819	8444
11.014546147905596	7.762927616596585	3037
17.754479808601477	8.531489402574955	2338
4.477260461557187	2.9658142775096135	1057
1.27132981248654	8.563565727819975	2594
13.079180683093021	5.591905243316088	355
18.344139740808842	7.078679727533538	6245
5.087837008776373	0.1282902006510035	6696
15.631761070956415	18.49666510171172	8575
10.105721968573096	4.1235031547013925	3953
15.065935168722842	4.890313299704023	872
------------------------------------------------------------------------------
x of block	y of block	x of assigned tower		y of assigned tower
0		0		7.302560825725174	10.897981806330131
0		1		6.5630627496945335	7.577438390031782
0		2		1.281633426448016	9.601608948175212
0		3		1.2932807598985643	14.589833585223655
0		4		5.6212178832475725	12.68416663939265
0		5		17.20571148077784	14.836919715887584
0		6		5.455126092472943	17.189164735519785
0		7		4.477260461557187	2.9658142775096135
0		8		4.477260461557187	2.9658142775096135
0		9		0.12515507211333765	10.514091288908512
0		10		11.309657551982486	13.70158774838653
0		11		11.309657551982486	13.70158774838653
0		12		9.794360769388245	10.793320770060232
0		13		4.330914411253606	8.958785334490846
0		14		12.62504144498933	13.893945875845917
0		15		0.930716073964258	11.48270704016111
0		16		1.2932807598985643	14.589833585223655
0		17		10.087370191112797	2.4889873526902058
0		18		8.176021027356837	6.590009692984315
0		19		11.309657551982486	13.70158774838653
1		0		14.045334302983074	17.78060230598912
1		1		11.309657551982486	13.70158774838653
1		2		17.20571148077784	14.836919715887584
1		3		3.4378368043384606	9.854040121114158
1		4		15.688120980166412	12.170018373893257
1		5		12.981634049618378	17.249965361714786
1		6		10.105721968573096	4.1235031547013925
1		7		14.045334302983074	17.78060230598912
1		8		11.700757097837505	2.750203071039827
1		9		15.631761070956415	18.49666510171172
1		10		16.263714857505413	10.18283749105889
1		11		0.12515507211333765	10.514091288908512
1		12		14.53178026075292	9.321006062658403
1		13		3.4378368043384606	9.854040121114158
1		14		6.5630627496945335	7.577438390031782
1		15		9.765443903891745	9.81964066807633
1		16		6.003571964441764	6.638724068533508
1		17		1.2932807598985643	14.589833585223655
1		18		0.12515507211333765	10.514091288908512
1		19		9.622964360690979	15.60257870597819
2		0		10.039383867730184	12.02121274676447
2		1		5.087837008776373	0.1282902006510035
2		2		3.4322435210554625	2.320859110097193
2		3		14.761101079362755	5.385651346460002
2		4		9.469345617234818	6.649444269625117
2		5		11.598151799894403	18.00237869837511
2		6		17.810309984293127	2.8941100109189826
2		7		5.087837008776373	0.1282902006510035
2		8		12.387137067887227	12.825155206604755
2		9		0.930716073964258	11.48270704016111
2		10		3.9264003209098335	12.166892807877897
2		11		4.154365593349457	14.32386766446483
2		12		10.105721968573096	4.1235031547013925
2		13		13.079180683093021	5.591905243316088
2		14		3.5968129919553844	0.6171605265974127
2		15		1.2932807598985643	14.589833585223655
2		16		1.281633426448016	9.601608948175212
2		17		15.688120980166412	12.170018373893257
2		18		3.5968129919553844	0.6171605265974127
2		19		4.304706674356323	5.7070854183710304
3		0		6.003571964441764	6.638724068533508
3		1		4.330914411253606	8.958785334490846
3		2		7.5389719072386905	0.0497260629086268
3		3		17.20571148077784	14.836919715887584
3		4		4.154365593349457	14.32386766446483
